start_city1,max_benefit_agent_1,min_benefit_agent_1,avg_ben_a_1,max_cost_agent_1,min_cost_agent_1,avg_cost_a_1,start_city2,max_benefit_agent_2,min_benefit_agent_2,avg_ben_a_2,max_cost_agent_2,min_cost_agent_2,avg_cost_a_2,avg_time,std_deviation
8,2250,450,1425.000,2.123800e+03,4.206000e+02,1330.740,1,2550,750,1575.000,2.123800e+03,4.206000e+02,1471.740,9.990,3.272
8,3000,450,1755.000,2.806400e+03,427,1641.620,2,2550,0,1245.000,2.806400e+03,427,1164.920,9.977,4.151
8,2850,750,1575.000,2.673400e+03,710,1470.980,3,2250,150,1425.000,2.673400e+03,710,1330.740,10.103,4.386
8,2100,0,1230.000,1.949200e+03,0,1149.140,4,3000,900,1770.000,1.949200e+03,0,1653.060,10.002,4.345
8,2250,1050,1680.000,2.113200e+03,9.834000e+02,1568.120,5,1950,750,1320.000,2.113200e+03,9.834000e+02,1237.560,10.003,3.429
8,2550,0,1410.000,2404,0,1318.840,6,3000,450,1590.000,2404,0,1491.160,9.783,3.636
8,2250,600,1575.000,2111,5.458000e+02,1470.060,7,2400,750,1425.000,2111,5.458000e+02,1337.520,9.796,2.190
8,0,0,0.000,0,0,0.000,8,0,0,0.000,0,0,0.000,0.000,0.000
8,2250,1050,1590.000,2.097200e+03,9.808000e+02,1488.100,9,1950,750,1410.000,2.097200e+03,9.808000e+02,1317.500,10.182,2.514
8,3000,750,1575.000,2.812800e+03,7.106000e+02,1466.600,10,2250,0,1425.000,2.812800e+03,7.106000e+02,1343.200,9.896,4.107
8,2850,0,1530.000,2.661400e+03,0,1428.040,11,3000,150,1470.000,2.661400e+03,0,1377.340,9.962,4.798
8,2100,750,1425.000,1.964200e+03,6.986000e+02,1329.800,12,2250,900,1575.000,1.964200e+03,6.986000e+02,1475.160,9.867,2.257
8,2400,1200,1890.000,2.279800e+03,1.106400e+03,1774.480,13,1800,600,1110.000,2.279800e+03,1.106400e+03,1030.440,10.003,2.596
8,2850,0,1245.000,2669,0,1158.160,14,3000,150,1755.000,2669,0,1644.140,10.039,5.008
8,1950,0,1185.000,1.807800e+03,0,1108.580,15,3000,1050,1815.000,1.807800e+03,0,1694.740,9.969,5.402
8,2400,900,1605.000,2.249800e+03,8.522000e+02,1498.440,16,2100,600,1395.000,2.249800e+03,8.522000e+02,1303.820,10.049,3.791
8,2850,600,1575.000,2.690400e+03,5.602000e+02,1477.540,17,2400,150,1425.000,2.690400e+03,5.602000e+02,1333.640,9.815,3.881
8,1950,150,1260.000,1.826200e+03,1.348000e+02,1171.980,18,2850,1050,1740.000,1.826200e+03,1.348000e+02,1639.460,9.710,3.472
8,2400,900,1800.000,2.257400e+03,841,1683.140,19,2100,600,1200.000,2.257400e+03,841,1120.820,9.951,3.739
8,3000,600,1650.000,2819,5.558000e+02,1534.280,20,2400,0,1350.000,2819,5.558000e+02,1274.020,9.885,4.006
9,3000,450,1485.000,2.800600e+03,4.328000e+02,1383.100,1,2550,0,1515.000,2.800600e+03,4.328000e+02,1423.560,9.866,4.458
9,2100,750,1470.000,1.981800e+03,7.026000e+02,1377.800,2,2250,900,1530.000,1.981800e+03,7.026000e+02,1429.200,9.500,2.607
